Solution:
Objective value = 840.0

Variable  Year 1     Year 2     Year 3    
tSK       1000.00    1025.00    1525.00   
tSS       1500.00    1425.00    2025.00   
tUS       2000.00    1175.00    675.00    
uSK       500.00     500.00     500.00    
uSS       70.31      715.62     596.88    
uUS       0.00       0.00       0.00      
vUSSS     200.00     200.00     200.00    
vSSSK     256.25     101.25     101.25    
vSKSS     0.00       0.00       0.00      
uSKUS     631.25     -0.00      0.00      
vSSUS     0.00       0.00       0.00      
wSK       0.00       0.00       0.00      
wSS       -0.00      0.00       0.00      
wUS       425.00     182.50     232.50    
xSK       50.00      50.00      0.00      
xSS       50.00      50.00      0.00      
xUS       50.00      50.00      50.00     
ySK       0.00       0.00       0.00      
ySS       0.00       0.00       0.00      
yUS       150.00     150.00     150.00    
