Solution:
Objective value = 260916581.66666666

| Index      | Year       | Operate    | Open            | Output (millions)|
| 1          | 1          | 1.0        | 1.00            |  2.00           |
| 2          | 1          | 0.0        | 1.00            |  0.00           |
| 3          | 1          | 1.0        | 1.00            |  1.30           |
| 4          | 1          | 1.0        | 1.00            |  2.45           |
| 1          | 2          | 0.0        | 1.00            |  0.00           |
| 2          | 2          | 1.0        | 1.00            |  2.50           |
| 3          | 2          | 1.0        | 1.00            |  1.30           |
| 4          | 2          | 1.0        | 1.00            |  2.20           |
| 1          | 3          | 1.0        | 1.00            |  1.95           |
| 2          | 3          | 0.0        | 1.00            |  0.00           |
| 3          | 3          | 1.0        | 1.00            |  1.30           |
| 4          | 3          | 0.0        | 1.00            |  0.00           |
| 1          | 4          | 1.0        | 1.00            |  0.12           |
| 2          | 4          | 1.0        | 1.00            |  2.50           |
| 3          | 4          | 0.0        | 1.00            |  0.00           |
| 4          | 4          | 1.0        | 1.00            |  3.00           |
| 1          | 5          | 1.0        | 1.00            |  2.00           |
| 2          | 5          | 1.0        | 1.00            |  2.17           |
| 3          | 5          | 1.0        | 1.00            |  1.30           |
| 4          | 5          | 0.0        | 0.00            |  0.00           |
