Solution:
Objective value = 13317.0

Dish            Hour            Requirement    Prepare         Inventory       Waste           Unfilled        Sold            
Samosa          5.00            5.00            10.00           0.00            0.00            0.00            5.00            
Samosa          6.00            0.00            0.00            5.00            0.00            0.00            0.00            
Samosa          7.00            3.00            0.00            5.00            0.00            0.00            3.00            
Samosa          8.00            3.00            10.00           2.00            0.00            0.00            3.00            
Samosa          9.00            7.00            0.00            9.00            0.00            0.00            7.00            
Samosa          10.00           9.00            10.00           2.00            0.00            0.00            9.00            
Samosa          11.00           3.00            10.00           3.00            5.00            0.00            3.00            
Samosa          12.00           5.00            10.00           5.00            5.00            0.00            5.00            
Samosa          13.00           2.00            0.00            5.00            7.00            0.00            2.00            
jalebi          5.00            4.00            10.00           0.00            0.00            0.00            4.00            
jalebi          6.00            7.00            10.00           6.00            0.00            0.00            7.00            
jalebi          7.00            6.00            0.00            9.00            0.00            0.00            6.00            
jalebi          8.00            8.00            10.00           3.00            0.00            0.00            8.00            
jalebi          9.00            8.00            10.00           5.00            0.00            0.00            8.00            
jalebi          10.00           10.00           10.00           7.00            0.00            0.00            10.00           
jalebi          11.00           1.00            0.00            7.00            0.00            0.00            1.00            
jalebi          12.00           6.00            10.00           6.00            0.00            0.00            6.00            
jalebi          13.00           7.00            0.00            10.00           6.00            0.00            7.00            
aloo Paratha    5.00            7.00            10.00           0.00            0.00            0.00            7.00            
aloo Paratha    6.00            8.00            10.00           3.00            0.00            0.00            8.00            
aloo Paratha    7.00            1.00            0.00            5.00            0.00            0.00            1.00            
aloo Paratha    8.00            5.00            10.00           4.00            0.00            0.00            5.00            
aloo Paratha    9.00            9.00            10.00           9.00            0.00            0.00            9.00            
aloo Paratha    10.00           8.00            0.00            10.00           0.00            0.00            8.00            
aloo Paratha    11.00           9.00            10.00           2.00            0.00            0.00            9.00            
aloo Paratha    12.00           4.00            10.00           3.00            0.00            0.00            4.00            
aloo Paratha    13.00           3.00            0.00            9.00            0.00            0.00            3.00            
Noodles         5.00            0.00            0.00            1.00            0.00            0.00            0.00            
Noodles         6.00            3.00            0.00            1.00            0.00            2.00            1.00            
Noodles         7.00            5.00            10.00           0.00            1.00            0.00            5.00            
Noodles         8.00            0.00            0.00            4.00            1.00            0.00            0.00            
Noodles         9.00            2.00            0.00            3.00            1.00            0.00            2.00            
Noodles         10.00           3.00            10.00           0.00            5.00            0.00            3.00            
Noodles         11.00           8.00            10.00           2.00            4.00            0.00            8.00            
Noodles         12.00           1.00            10.00           0.00            5.00            0.00            1.00            
Noodles         13.00           3.00            0.00            4.00            6.00            0.00            3.00            
coffee          5.00            3.00            0.00            -0.00           -0.00           3.00            -0.00           
coffee          6.00            3.00            10.00           -0.00           -0.00           0.00            3.00            
coffee          7.00            7.00            0.00            7.00            -0.00           0.00            7.00            
coffee          8.00            0.00            0.00            0.00            -0.00           0.00            0.00            
coffee          9.00            1.00            10.00           0.00            -0.00           0.00            1.00            
coffee          10.00           9.00            10.00           9.00            -0.00           0.00            9.00            
coffee          11.00           9.00            10.00           10.00           7.00            0.00            9.00            
coffee          12.00           0.00            0.00            4.00            0.00            0.00            0.00            
coffee          13.00           10.00           10.00           4.00            7.00            0.00            10.00           
pastry          5.00            4.00            0.00            1.00            0.00            3.00            1.00            
pastry          6.00            7.00            10.00           0.00            0.00            0.00            7.00            
pastry          7.00            3.00            0.00            3.00            0.00            0.00            3.00            
pastry          8.00            2.00            10.00           0.00            1.00            0.00            2.00            
pastry          9.00            7.00            0.00            7.00            0.00            0.00            7.00            
pastry          10.00           2.00            20.00           0.00            4.00            0.00            2.00            
pastry          11.00           0.00            0.00            14.00           0.00            0.00            0.00            
pastry          12.00           0.00            0.00            14.00           11.00           0.00            0.00            
pastry          13.00           4.00            10.00           3.00            0.00            0.00            4.00            
dosa            5.00            5.00            10.00           0.00            0.00            0.00            5.00            
dosa            6.00            5.00            0.00            5.00            0.00            0.00            5.00            
dosa            7.00            6.00            10.00           0.00            0.00            0.00            6.00            
dosa            8.00            8.00            10.00           4.00            0.00            0.00            8.00            
dosa            9.00            4.00            0.00            6.00            0.00            0.00            4.00            
dosa            10.00           1.00            0.00            2.00            0.00            0.00            1.00            
dosa            11.00           4.00            10.00           1.00            5.00            0.00            4.00            
dosa            12.00           9.00            10.00           2.00            0.00            0.00            9.00            
dosa            13.00           10.00           10.00           3.00            9.00            0.00            10.00           
biryani         5.00            10.00           10.00           0.00            0.00            0.00            10.00           
biryani         6.00            8.00            10.00           -0.00           0.00            0.00            8.00            
biryani         7.00            1.00            0.00            2.00            0.00            0.00            1.00            
biryani         8.00            1.00            10.00           1.00            0.00            0.00            1.00            
biryani         9.00            7.00            0.00            10.00           0.00            0.00            7.00            
biryani         10.00           9.00            10.00           3.00            0.00            0.00            9.00            
biryani         11.00           9.00            10.00           4.00            0.00            0.00            9.00            
biryani         12.00           3.00            0.00            5.00            0.00            0.00            3.00            
biryani         13.00           6.00            10.00           2.00            2.00            0.00            6.00            
chesse ball     5.00            7.00            10.00           0.00            0.00            0.00            7.00            
chesse ball     6.00            2.00            0.00            3.00            0.00            0.00            2.00            
chesse ball     7.00            0.00            0.00            1.00            0.00            0.00            0.00            
chesse ball     8.00            3.00            10.00           1.00            0.00            0.00            3.00            
chesse ball     9.00            5.00            0.00            8.00            0.00            0.00            5.00            
chesse ball     10.00           9.00            10.00           3.00            0.00            0.00            9.00            
chesse ball     11.00           10.00           10.00           4.00            0.00            0.00            10.00           
chesse ball     12.00           4.00            10.00           4.00            0.00            0.00            4.00            
chesse ball     13.00           4.00            0.00            10.00           3.00            0.00            4.00            
dal makni       5.00            6.00            10.00           0.00            0.00            0.00            6.00            
dal makni       6.00            4.00            0.00            4.00            0.00            0.00            4.00            
dal makni       7.00            4.00            10.00           0.00            0.00            0.00            4.00            
dal makni       8.00            3.00            0.00            6.00            0.00            0.00            3.00            
dal makni       9.00            4.00            10.00           3.00            0.00            0.00            4.00            
dal makni       10.00           4.00            0.00            9.00            0.00            0.00            4.00            
dal makni       11.00           8.00            10.00           5.00            4.00            0.00            8.00            
dal makni       12.00           4.00            10.00           3.00            0.00            0.00            4.00            
dal makni       13.00           3.00            0.00            9.00            10.00           0.00            3.00            
raita           5.00            10.00           10.00           0.00            0.00            0.00            10.00           
raita           6.00            7.00            10.00           0.00            0.00            0.00            7.00            
raita           7.00            5.00            0.00            3.00            0.00            2.00            3.00            
raita           8.00            5.00            10.00           0.00            0.00            0.00            5.00            
raita           9.00            0.00            0.00            5.00            0.00            0.00            0.00            
raita           10.00           1.00            0.00            5.00            3.00            0.00            1.00            
raita           11.00           5.00            10.00           1.00            0.00            0.00            5.00            
raita           12.00           9.00            20.00           6.00            8.00            0.00            9.00            
raita           13.00           3.00            0.00            9.00            5.00            0.00            3.00            
lassi           5.00            0.00            0.00            -0.00           -0.00           0.00            0.00            
lassi           6.00            5.00            0.00            0.00            -0.00           5.00            -0.00           
lassi           7.00            0.00            0.00            -0.00           -0.00           0.00            0.00            
lassi           8.00            1.00            0.00            -0.00           -0.00           1.00            -0.00           
lassi           9.00            2.00            10.00           -0.00           -0.00           0.00            2.00            
lassi           10.00           4.00            0.00            8.00            -0.00           0.00            4.00            
lassi           11.00           2.00            0.00            4.00            -0.00           0.00            2.00            
lassi           12.00           0.00            0.00            2.00            -0.00           0.00            0.00            
lassi           13.00           3.00            10.00           2.00            -0.00           0.00            3.00            
cold  coffee    5.00            2.00            0.00            -0.00           -0.00           2.00            -0.00           
cold  coffee    6.00            10.00           10.00           -0.00           -0.00           0.00            10.00           
cold  coffee    7.00            0.00            0.00            -0.00           -0.00           0.00            0.00            
cold  coffee    8.00            7.00            10.00           -0.00           -0.00           0.00            7.00            
