Dish,Hour,Requirement,Prepare,inventory available,Waste,Unfilled,used
Optimal Profit,7427.0
ice cream,0,0,0.0,0,0.0,0.0,0.0
ice cream,1,0,0.0,0.0,0.0,0.0,0.0
ice cream,2,0,0.0,0.0,0.0,0.0,0.0
ice cream,3,0,50.0,0.0,0.0,0.0,0.0
ice cream,4,0,40.0,50.0,0.0,0.0,0.0
ice cream,5,50,30.0,90.0,0.0,0.0,50.0
ice cream,6,45,20.0,70.0,0.0,0.0,45.0
ice cream,7,25,10.0,45.0,0.0,0.0,25.0
ice cream,8,20,0.0,30.0,0.0,0.0,20.0
ice cream,9,36,30.0,10.0,4.0,0.0,36.0
Samosa ,0,0,0.0,0,0.0,0.0,0.0
Samosa ,1,0,50.0,0.0,0.0,0.0,0.0
Samosa ,2,0,50.0,50.0,0.0,0.0,0.0
Samosa ,3,0,30.0,100.0,0.0,0.0,0.0
Samosa ,4,0,30.0,130.0,0.0,0.0,0.0
Samosa ,5,56,0.0,160.0,0.0,0.0,56.0
Samosa ,6,49,0.0,104.0,0.0,0.0,49.0
Samosa ,7,29,0.0,55.0,0.0,0.0,29.0
Samosa ,8,26,0.0,26.0,0.0,0.0,26.0
Samosa ,9,43,40.0,0.0,0.0,3.0,40.0
